start,end,phase
0.0,28.603,explore
229.911,269.843,explore
299.915,379.922,explore
422.676,483.693,explore
591.444,624.428,explore
681.295,748.395,explore
28.603,229.911,exploit
269.843,299.915,exploit
379.922,422.676,exploit
483.693,591.444,exploit
624.428,681.295,exploit
748.395,848.912,exploit
