gallery_out_time,gallery_in_time,phase
0.0,14.156,explore
40.319,47.104,explore
82.505,181.254,explore
224.691,328.638,explore
396.971,405.021,explore
491.81,525.173,explore
585.243,602.738,explore
638.025,638.025,explore
665.479,690.468,explore
727.267,753.802,explore
786.619,793.052,explore
841.946,897.915,explore
17.836,34.404,exploit
51.02,75.389,exploit
186.724,213.875,exploit
334.315,390.163,exploit
408.331,478.04,exploit
533.075,575.113,exploit
607.057,624.322,exploit
641.115,654.406,exploit
693.786,711.979,exploit
755.939,776.832,exploit
795.803,837.291,exploit
