start,end,phase
0.0,74.667,explore
148.779,181.131,explore
235.795,247.518,explore
348.907,360.98,explore
392.211,409.123,explore
424.12,436.411,explore
485.476,494.596,explore
584.622,614.252,explore
687.048,700.819,explore
711.26,722.436,explore
787.614,796.396,explore
74.667,148.779,exploit
181.131,235.795,exploit
247.518,348.907,exploit
360.98,392.211,exploit
409.123,424.12,exploit
436.411,485.476,exploit
494.596,584.622,exploit
614.252,687.048,exploit
700.819,711.26,exploit
722.436,787.614,exploit
796.396,862.509,exploit
