start,end,phase
0.0,65.835,explore
97.22,128.165,explore
183.97,225.167,explore
296.828,334.482,explore
385.644,437.339,explore
494.58,537.435,explore
567.227,689.788,explore
65.835,97.22,exploit
128.165,183.97,exploit
225.167,296.828,exploit
334.482,385.644,exploit
437.339,494.58,exploit
537.435,567.227,exploit
689.788,767.442,exploit
