start,end,phase
0.0,50.106,explore
87.458,108.084,explore
136.734,157.131,explore
269.907,281.17,explore
390.771,408.138,explore
424.834,453.626,explore
507.821,522.903,explore
578.186,593.994,explore
669.578,679.739,explore
728.791,748.646,explore
825.578,845.106,explore
50.106,87.458,exploit
108.084,136.734,exploit
157.131,269.907,exploit
281.17,390.771,exploit
408.138,424.834,exploit
453.626,507.821,exploit
522.903,578.186,exploit
593.994,669.578,exploit
679.739,723.161,exploit
748.646,825.578,exploit
845.106,890.286,exploit
