gallery_out_time,gallery_in_time,phase
0.0,16.494,explore
40.169,89.358,explore
119.805,131.185,explore
158.477,206.724,explore
271.606,345.539,explore
432.207,452.798,explore
534.878,554.862,explore
613.846,620.973,explore
659.148,679.805,explore
733.748,752.156,explore
799.95,841.042,explore
888.77,900.269,explore
19.51,34.67,exploit
90.685,117.567,exploit
132.781,155.701,exploit
210.781,264.512,exploit
350.455,424.228,exploit
457.574,530.637,exploit
556.614,609.59,exploit
624.221,653.662,exploit
687.443,730.979,exploit
753.854,795.779,exploit
842.78,884.643,exploit
