start,end,phase
0.0,20.594,explore
59.268,70.698,explore
98.653,106.036,explore
183.455,201.455,explore
229.698,257.626,explore
286.482,316.681,explore
354.539,371.274,explore
425.642,451.442,explore
486.796,503.66,explore
538.261,546.979,explore
559.791,639.727,explore
675.449,700.724,explore
767.873,784.343,explore
853.249,874.079,explore
20.594,54.506,exploit
70.698,98.653,exploit
106.036,183.455,exploit
201.455,229.698,exploit
262.756,286.482,exploit
316.681,354.539,exploit
371.274,425.642,exploit
451.442,486.796,exploit
503.66,538.261,exploit
546.979,559.791,exploit
645.906,675.449,exploit
700.724,767.873,exploit
784.343,848.986,exploit
874.079,894.335,exploit
