start,end,phase
0.0,93.423,explore
118.399,188.103,explore
243.174,311.371,explore
353.438,391.198,explore
417.014,462.543,explore
515.158,721.493,explore
93.423,118.399,exploit
188.103,243.174,exploit
311.371,353.438,exploit
391.198,417.014,exploit
462.543,515.158,exploit
721.493,762.882,exploit
