start,end,phase
0.0,41.737,explore
83.851,123.993,explore
191.491,245.891,explore
303.718,401.656,explore
496.729,514.529,explore
542.929,576.995,explore
689.15,773.481,explore
41.737,83.851,exploit
123.993,191.491,exploit
245.891,303.718,exploit
401.656,496.729,exploit
514.529,542.929,exploit
576.995,683.781,exploit
773.481,885.318,exploit
