start,end,phase
0.0,95.428,explore
121.155,259.389,explore
322.21,358.05,explore
411.786,451.024,explore
477.614,505.641,explore
556.426,630.534,explore
834.998,867.961,explore
95.428,121.155,exploit
259.389,321.915,exploit
358.05,411.786,exploit
451.024,477.614,exploit
505.641,556.426,exploit
630.534,834.998,exploit
867.961,894.416,exploit
