gallery_out_time,gallery_in_time,phase
0.0,52.196,explore
92.995,113.078,explore
143.03,149.787,explore
195.74,206.835,explore
243.699,253.723,explore
278.772,282.932,explore
314.564,357.188,explore
380.537,390.101,explore
537.539,582.14,explore
651.433,694.116,explore
828.661,899.276,explore
55.5,87.771,exploit
122.236,139.484,exploit
155.916,192.082,exploit
210.588,241.934,exploit
255.699,273.17,exploit
285.891,308.099,exploit
360.989,375.002,exploit
393.381,529.247,exploit
588.805,642.911,exploit
699.607,811.747,exploit
