gallery_out_time,gallery_in_time,phase
0.0,33.298,explore
63.669,76.938,explore
273.897,273.897,explore
302.36,360.521,explore
390.78,393.448,explore
422.339,434.932,explore
495.185,514.489,explore
594.551,648.301,explore
679.844,701.965,explore
809.213,828.483,explore
899.046,899.046,explore
37.37,55.129,exploit
79.932,264.809,exploit
276.299,295.807,exploit
363.209,384.209,exploit
396.819,414.787,exploit
441.121,490.672,exploit
522.705,564.035,exploit
577.204,585.321,exploit
651.555,669.187,exploit
709.436,804.81,exploit
830.369,892.563,exploit
