gallery_out_time,gallery_in_time,phase
0.0,24.117,explore
75.27,80.414,explore
130.752,135.396,explore
160.772,208.888,explore
260.701,260.701,explore
289.957,292.982,explore
342.599,350.13,explore
374.685,379.988,explore
402.389,402.389,explore
427.812,427.812,explore
461.309,467.66,explore
531.657,537.389,explore
582.917,582.917,explore
620.142,620.142,explore
677.07,683.672,explore
710.924,716.531,explore
773.962,796.326,explore
815.796,815.796,explore
835.373,846.315,explore
27.99,69.053,exploit
84.744,122.344,exploit
140.744,155.597,exploit
212.46,250.612,exploit
264.501,284.769,exploit
296.373,337.781,exploit
353.101,367.877,exploit
382.871,398.004,exploit
404.981,422.453,exploit
430.928,452.485,exploit
489.814,505.98,exploit
512.194,527.254,exploit
543.303,553.382,exploit
561.617,575.318,exploit
586.392,605.915,exploit
624.021,670.094,exploit
688.229,702.809,exploit
722.21,762.127,exploit
799.742,810.596,exploit
819.48,830.644,exploit
851.174,897.417,exploit
