start,end,phase
0.0,23.275,explore
153.116,186.242,explore
234.876,274.157,explore
329.085,361.691,explore
418.346,446.892,explore
496.527,562.362,explore
609.746,699.346,explore
23.275,153.116,exploit
186.242,234.876,exploit
274.157,329.085,exploit
361.691,418.346,exploit
446.892,492.492,exploit
562.362,609.746,exploit
699.346,725.573,exploit
