start,end,phase
0.0,4.467,explore
143.799,176.035,explore
222.259,261.201,explore
316.148,357.966,explore
386.101,407.806,explore
433.701,450.426,explore
486.859,499.788,explore
535.435,553.827,explore
584.043,653.425,explore
681.365,702.108,explore
707.364,728.275,explore
782.972,803.907,explore
4.467,143.799,exploit
176.035,222.259,exploit
261.201,316.148,exploit
357.966,386.101,exploit
407.806,426.819,exploit
450.426,486.859,exploit
499.788,535.435,exploit
553.827,584.043,exploit
653.425,681.365,exploit
702.108,707.364,exploit
728.275,782.972,exploit
803.907,893.148,exploit
